Date,Clicks,Impressions,CTR,Position
2026-04-13,2,250,0.8%,21.4
2026-04-14,6,237,2.53%,13
2026-04-15,2,147,1.36%,10
2026-04-16,1,185,0.54%,10.5
2026-04-17,0,147,0%,12.7
2026-04-18,2,159,1.26%,9.1
2026-04-19,0,95,0%,12.3
2026-04-20,3,160,1.88%,8.7
2026-04-21,4,165,2.42%,7.2
2026-04-22,2,129,1.55%,8.6
2026-04-23,2,130,1.54%,9.4
2026-04-24,4,194,2.06%,9
2026-04-25,3,137,2.19%,13.8
2026-04-26,3,184,1.63%,10.4
2026-04-27,4,257,1.56%,9.1
2026-04-28,3,270,1.11%,10.1
2026-04-29,10,290,3.45%,9.5
2026-04-30,7,281,2.49%,10.2
2026-05-01,2,228,0.88%,9.6
2026-05-02,4,194,2.06%,11.3
2026-05-03,4,180,2.22%,12.6
2026-05-04,5,285,1.75%,10.3
2026-05-05,8,250,3.2%,9.8
2026-05-06,4,185,2.16%,10.5
2026-05-07,1,144,0.69%,11.1
2026-05-08,5,166,3.01%,10.7
2026-05-09,1,129,0.78%,12.6
2026-05-10,2,147,1.36%,9.1
2026-05-11,0,158,0%,9.8
2026-05-12,8,182,4.4%,10.5
2026-05-13,3,141,2.13%,10.4
2026-05-14,2,147,1.36%,8.6
2026-05-15,4,129,3.1%,14.2
2026-05-16,5,113,4.42%,14
2026-05-17,2,98,2.04%,15.7
2026-05-18,5,163,3.07%,13.6
2026-05-19,6,91,6.59%,15.5
2026-05-20,6,138,4.35%,23
2026-05-21,3,192,1.56%,18.2
2026-05-22,2,147,1.36%,19.1
2026-05-23,2,79,2.53%,20.5
2026-05-24,1,190,0.53%,9.4
2026-05-25,2,250,0.8%,8.7
2026-05-26,9,262,3.44%,8.5
2026-05-27,11,283,3.89%,10.4
2026-05-28,10,344,2.91%,11.8
2026-05-29,11,358,3.07%,14.9
2026-05-30,3,253,1.19%,9.1
2026-05-31,4,319,1.25%,10.9
2026-06-01,11,507,2.17%,10.1
2026-06-02,9,434,2.07%,9.8
2026-06-03,15,507,2.96%,9.6
2026-06-04,8,452,1.77%,9.6
2026-06-05,8,412,1.94%,9.9
2026-06-06,9,285,3.16%,9.7
2026-06-07,7,331,2.11%,8.6
2026-06-08,12,564,2.13%,8.8
2026-06-09,16,641,2.5%,7.8
2026-06-10,11,670,1.64%,8.6
2026-06-11,17,675,2.52%,7.4
2026-06-12,12,611,1.96%,7.9
2026-06-13,6,360,1.67%,7.7
2026-06-14,6,422,1.42%,8
2026-06-15,16,633,2.53%,8
2026-06-16,11,519,2.12%,8.5
2026-06-17,17,822,2.07%,9.2
2026-06-18,16,949,1.69%,7.9
2026-06-19,20,705,2.84%,8.7
2026-06-20,7,454,1.54%,9.6
2026-06-21,8,852,0.94%,19.4
2026-06-22,27,2028,1.33%,6.5
2026-06-23,24,1438,1.67%,7.3
2026-06-24,17,908,1.87%,6.8
2026-06-25,19,847,2.24%,7
2026-06-26,11,566,1.94%,7.9
2026-06-27,3,349,0.86%,10.6
2026-06-28,3,391,0.77%,11.6
2026-06-29,7,452,1.55%,13.6
2026-06-30,6,427,1.41%,12.7
2026-07-01,18,416,4.33%,9.5
2026-07-02,12,523,2.29%,7.8
2026-07-03,14,479,2.92%,7.8
2026-07-04,5,313,1.6%,7.5
2026-07-05,9,406,2.22%,7.6
2026-07-06,21,625,3.36%,7.7
2026-07-07,28,618,4.53%,7.8
2026-07-08,16,441,3.63%,8.1
2026-07-09,6,372,1.61%,9.1
2026-07-10,10,293,3.41%,14.4
2026-07-11,5,348,1.44%,19.2
2026-07-12,4,504,0.79%,18.9
