Country,Clicks,Impressions,CTR,Position
India,47,1476,3.18%,9.44
United States,43,7883,0.55%,15.17
France,39,898,4.34%,7.67
Germany,34,1130,3.01%,7.52
Brazil,29,1194,2.43%,8.53
United Kingdom,26,865,3.01%,8.53
South Korea,21,798,2.63%,7.33
Poland,20,459,4.36%,7.2
Australia,20,393,5.09%,7.65
Spain,19,1091,1.74%,6.59
Indonesia,19,1042,1.82%,8.97
Pakistan,15,977,1.54%,9.72
Mexico,14,758,1.85%,8.26
China,14,255,5.49%,6.77
Canada,13,726,1.79%,9.28
Vietnam,13,691,1.88%,11.08
Ukraine,13,333,3.9%,7.44
Netherlands,12,1213,0.99%,7.62
Egypt,12,455,2.64%,9.09
Italy,12,448,2.68%,8.9
Bangladesh,11,395,2.78%,9.81
Russia,11,358,3.07%,8.78
Singapore,11,301,3.65%,7.69
Sweden,10,182,5.49%,7.23
Turkey,9,285,3.16%,8.65
Philippines,8,348,2.3%,10.9
Japan,7,595,1.18%,8.33
Colombia,7,567,1.23%,7.91
Chile,7,326,2.15%,6.81
Thailand,7,226,3.1%,7.7
Peru,6,664,0.9%,6.32
Israel,6,246,2.44%,8.53
Nigeria,6,208,2.88%,9.23
Iran,6,201,2.99%,6.98
Argentina,5,537,0.93%,7.72
Morocco,5,261,1.92%,9.89
Bolivia,5,134,3.73%,7.07
United Arab Emirates,5,115,4.35%,7.77
Sri Lanka,5,108,4.63%,6.94
Tunisia,5,95,5.26%,7.64
Greece,5,70,7.14%,6.81
Ireland,5,69,7.25%,7.93
Malaysia,4,174,2.3%,10.45
Portugal,4,166,2.41%,7.21
Saudi Arabia,4,113,3.54%,9.71
Hong Kong,4,97,4.12%,7.93
Rwanda,4,77,5.19%,7.62
Lebanon,4,33,12.12%,7.03
Belgium,3,157,1.91%,7.17
Venezuela,3,145,2.07%,7.6
Romania,3,142,2.11%,6.7
Nepal,3,137,2.19%,7.68
Switzerland,3,114,2.63%,7.17
Austria,3,103,2.91%,7.05
Denmark,3,97,3.09%,6.98
Kazakhstan,3,81,3.7%,7.46
Hungary,3,79,3.8%,6.91
Finland,3,77,3.9%,7.26
Algeria,3,62,4.84%,8.19
Armenia,3,58,5.17%,7.55
Estonia,3,54,5.56%,6.74
Ethiopia,3,41,7.32%,6
Ecuador,2,170,1.18%,8.3
South Africa,2,88,2.27%,10.2
Uruguay,2,70,2.86%,8.33
Georgia,2,66,3.03%,8.65
Uzbekistan,2,58,3.45%,9.45
Lithuania,2,54,3.7%,6.87
Norway,2,54,3.7%,8
New Zealand,2,52,3.85%,6.83
Slovakia,2,38,5.26%,6.68
Slovenia,2,23,8.7%,6.3
Haiti,2,6,33.33%,6.33
Czechia,1,118,0.85%,8.92
Serbia,1,101,0.99%,7.8
Dominican Republic,1,86,1.16%,7.56
Belarus,1,49,2.04%,7.18
Azerbaijan,1,47,2.13%,9.66
Iraq,1,44,2.27%,12.52
Palestine,1,35,2.86%,7.11
Cyprus,1,35,2.86%,7.66
Macedonia,1,29,3.45%,7.66
Benin,1,22,4.55%,6.23
Yemen,1,21,4.76%,6.95
Ghana,1,19,5.26%,7.21
Bosnia & Herzegovina,1,18,5.56%,6.44
Honduras,1,18,5.56%,6.56
Uganda,1,18,5.56%,7.17
Libya,1,12,8.33%,5.92
Tajikistan,1,12,8.33%,6
Andorra,1,7,14.29%,4.43
Luxembourg,1,7,14.29%,7.29
Bhutan,1,4,25%,6.25
Malawi,1,3,33.33%,8
Réunion,1,2,50%,7
Zimbabwe,1,2,50%,7
Guernsey,1,2,50%,8
Jersey,1,1,100%,1
Taiwan,0,166,0%,7.73
Bulgaria,0,58,0%,7.78
Kenya,0,58,0%,9.5
Costa Rica,0,57,0%,7.96
Croatia,0,54,0%,7.96
Jordan,0,54,0%,8.56
Guatemala,0,49,0%,5.8
El Salvador,0,45,0%,7.27
Paraguay,0,42,0%,8
Senegal,0,36,0%,7.56
Cambodia,0,33,0%,9.85
Madagascar,0,32,0%,6.09
Nicaragua,0,31,0%,6.61
Latvia,0,31,0%,7
Moldova,0,30,0%,11
Cuba,0,26,0%,6.31
Panama,0,24,0%,6.29
Cameroon,0,21,0%,6.9
Kyrgyzstan,0,21,0%,8.71
