Top pages,Clicks,Impressions,CTR,Position
https://html2design.com/,492,17342,2.84%,7.49
https://html2design.com/alternatives,146,9112,1.6%,9.99
https://html2design.com/guide,10,2931,0.34%,16.96
https://html2design.com/compare,10,1680,0.6%,12.17
https://html2design.com/use-cases/tailwind-to-figma,10,333,3%,18.69
https://html2design.com/use-cases/v0-to-figma,8,493,1.62%,10.37
https://html2design.com/use-cases/github-copilot-to-figma,5,86,5.81%,11.81
https://html2design.com/use-cases/claude-to-figma,4,450,0.89%,13.39
https://html2design.com/blog/vue-to-figma,4,134,2.99%,13.9
https://html2design.com/blog/multi-page-website-to-figma,3,460,0.65%,19.25
https://html2design.com/changelog,3,452,0.66%,11.01
https://html2design.com/use-cases/astro-to-figma,3,18,16.67%,12.17
https://html2design.com/faq,2,336,0.6%,9.62
https://html2design.com/use-cases/replit-agent-to-figma,2,76,2.63%,11.55
https://html2design.com/use-cases/google-stitch-to-figma,1,569,0.18%,9.83
https://html2design.com/use-cases/developer-handoff,1,420,0.24%,16.45
https://html2design.com/glossary,1,150,0.67%,19.53
https://html2design.com/blog/tailwind-to-figma,1,135,0.74%,8.14
https://html2design.com/use-cases/chatgpt-to-figma,1,85,1.18%,9.47
https://html2design.com/use-cases/cursor-to-figma,1,53,1.89%,13.91
https://html2design.com/use-cases/lovable-to-figma,0,281,0%,9.89
https://html2design.com/use-cases/bolt-to-figma,0,71,0%,14.59
https://html2design.com/reviews,0,63,0%,7.49
https://html2design.com/use-cases/magic-patterns-to-figma,0,39,0%,35.41
https://html2design.com/use-cases/visily-to-figma,0,34,0%,9.24
https://html2design.com/use-cases/magicpath-to-figma,0,24,0%,15.67
https://html2design.com/use-cases/remix-to-figma,0,15,0%,12.07
https://html2design.com/use-cases/ember-to-figma,0,11,0%,7.91
https://html2design.com/use-cases/windsurf-to-figma,0,9,0%,6.22
https://html2design.com/use-cases/alpine-to-figma,0,6,0%,10.83
